,comment,sentiment,positive,negative
151,"남자가 겟잇뷰티, 핫트랙스 이런거 관심 있으면 이상하냐?",Negative,0.008678175508975983,0.991321861743927
153,숙노하는데 룸메 아재가,Negative,0.08827289938926697,0.9117271304130554
156,저것들이 멋대로 만들어놓은 정의(定義)를 써주는것도 문제임,Negative,0.001981644192710519,0.9980183839797974
157,페미들이 이젠 그루밍도 엉터리러 퍼트리네ㅋㅋㅋㅋㅋ,Negative,0.0303574800491333,0.9696425199508667
158,남자도 파데 많이함??,Negative,0.013955293223261833,0.986044704914093
159,남자도 파데 많이함??,Negative,0.013955293223261833,0.986044704914093
160,옷이나 화장품 사는거 의식하는게,Negative,0.06136464327573776,0.9386354088783264
163,"구경은 매장에서, 구매는 온라인으로",Negative,0.09534337371587753,0.9046565890312195
165,전남편 설명.txt,Negative,0.07454553246498108,0.9254544377326965
166,첫월급받은 공무원 친구썰.fact,Negative,0.03258107602596283,0.967418909072876
167,그래도 머리하고 꾸미는게 안하는거보단 낫지,Negative,0.03180527687072754,0.9681946635246277
168,다 하고싶은데 그걸 못한다고 찡찡대는거지 어느정도 소득수준도 되야하는데 전보다 의식주에 대한 필사적인 갈망이 많이 사라졌기때문에 요새는 상대방의 외모를 정말 많이 본다 괜히 그루밍족같은게 생겨난게 아님,Negative,0.033088114112615585,0.9669119119644165
169,머한민국보다야 훨씬 많지만 능국도 멀쩡한애들 많음 근데 너무 꾸며서 좀 적응 안됨 거의 남성인구 대부분이 소위 말하는 그루밍족이라고 보면 됨 젊은 층에는 힙스터류 애들이 머한민국보다 흔함,Negative,0.0016314575914293528,0.9983685612678528
171,반사슬로건 나눔에서 치마 수치플 계획했는데 난 주변 지인들 생각해서 다들 자기 관리하는 기본적인 그루밍족 녀석들인지라 응당 솜갤러 아재들이야 하겠거니 했다만.......... 알고보니 진성 덕후 반사전국구...,Negative,0.023634852841496468,0.9763651490211487
172,"3대운동 5RM 3백치는 본인도 한번싸면 쿨타임 최소 24시간, 현타 3일 이상임 로망 : 간지나게 가꾸고 그루밍족되서 보란듯이 살자 현실 : 잘꾸며봐야 별거 없다는 걸 알게 되서 안꾸밈. 쓰레빠 끄는 근돼만 되도...",Negative,0.0072363801300525665,0.9927636384963989
173,털고르는 단어인데 ㅋㅋㅋ 자기 자신을 꾸미는 그루밍족이란거도 이해는 가는데 그루밍성범죄는 연예질 하려고 썸 타는거도 범죄라고 보는거냐,Negative,0.10010579228401184,0.8998942375183105
175,클렌징오일 클렌징폼으로 이중세안 수분크림 등 그루밍족이라 보습 피부관리 관심 많고 뷰티 프로그램 자주봄 당연 색조는 안하고; 그리고 알록 달록 노트 꾸미고 필기하고 이런거 좋아해서 핫트랙스가면 동접자...,Negative,0.034817613661289215,0.9651824235916138
178,한국사람들이 존나 그루밍족이 많은거임. 해외나가보셈 ㅋㅋ 남자들한테 로션이나 뭐 스킨 이런거 바르냐고 물어봐. 그럼 한 7할은 그런거 왜바름 이럴걸,Negative,0.14956413209438324,0.8504358530044556
180,그루밍이 원래는 꾸미다는 의미인데 저들이 이상하게 쓰는 바람에 자신을 가꾸는 남자들을 칭하는 '그루밍족'이란 단어가 이상하게 받아들이게끔만들어놨음. 결국 쟤들이 멋대로 의미부여하고 쓰게끔 만들어 놓은...,Negative,0.0015566219808533788,0.9984434247016907
