,comment,sentiment,positive,negative
97,애초에 여성성 남성성 이런건 다 어디서 부터 오는걸까 누가그걸 마음대로 규정할 수 있는가.라는걸 느꼈어요 잘봤습니다 공감 많이 됬어요~,Positive,0.9982873797416687,0.0017126142047345638
98,레오님보러왔어요. 저런 생각을 가지고 있는분들 귀합니다ㅜㅜ....응원해요,Positive,0.9812601208686829,0.018739867955446243
99,진짜 잘 꾸미고 다녀서 졸라 보기좋음 ㅋㅋㅋㅋ 졸라 호감,Positive,0.9975040555000305,0.0024959882721304893
100,진심 남자분들 눈썹 정리되어있으면 얼마나 상쾌한데.... 게다가 빈 부분 채워넣기까지하면 완전 칭찬해주고싶음,Positive,0.9831162095069885,0.01688380539417267
101,개인적으로 난 남자분들도 화장하고 꾸미고 다니시는거 너무 보기좋음.남자도 여자못지않게 자기자신을 꾸미고 가꾸는게 당연한 세상이 되길,Positive,0.9886336326599121,0.01136639341711998
103,정말 멋져요 공감되고 덕분에 용기가 조금이나마 생기네요 ㅎ,Positive,0.9981539249420166,0.0018460361752659082
104,"예전에는 저도 화장하는 남자에 편견이 있었는데, 지금은 생각이 많이 변했습니다. 차별했던 지난 날을 오히려 반성해요.",Positive,0.9977487325668335,0.0022512369323521852
106,이분들 진짜 멋지다..,Positive,0.9975002408027649,0.002499734051525593
108,나는야 남자뷰티유튜버! 그저 내모습 가꾸는게 좋아서하는건데 왜 그렇게 나쁜 말들을 하시는지 ㅠ,Positive,0.9754828810691833,0.0245171170681715
109,남자도 미(아름다움) 를 추구하고픈 마음이 있을 수 있는거지~요즘 세상이 어떤 세상인데~그까짓 악플  달거나 말거나 그냥 생각없이 흘리는 말에 상처 받을 필요 없어요~  개성이 매력인 세상인데~~모두 화이팅~~~ ,Positive,0.9980483055114746,0.001951704267412424
112,와... 나도 저분들만큼실력이엿으면 좋겟어요 정말멋져요,Positive,0.9941601157188416,0.005839889403432608
113,나도 진짜 화장 잘 안하는데항상 묻는말이 가게갔는데 오늘 놀러나왔는데 안꾸미고 나오신건가요??라고물어보시는 분이 꽤 많다는거...여자는 화장을 해야한다고 생각하는 것도 이상한 생각이고 남자는 화장을 하면 안된다는 생각도 이상하다고 느껴진다 내 자유고 내 행동인데 그걸 다른사람의 시선에 맞춰 바꿀 필요는 없음근데 화장 안한다고 하는 시선에도 넌 왜 안꾸며?라고 물음 받는거에도 힘들다고 느꼈는데  영상에서 보이는 당당하고 자신감있는 모습이 너무 존경스럽고 대단하다고 느껴져요,Positive,0.9953145980834961,0.004685410764068365
115,진짜 너무너무 멋지시다 완전 말도잘하시고 남자가 화장을하든말든 사람들욕하는거 어이없어여,Positive,0.9888094663619995,0.011190547607839108
116,역시.. 준비된 유튜버 항상 응원해요 여러분!,Positive,0.9961419701576233,0.003858037292957306
118,말은 저렇게 웃으면서해도속으로 아직도 속상하실건데그래도 정말 스스로 좌절안하고긍정적인 마인드로 잘 이겨내셔서굿입니다!!,Positive,0.9982979893684387,0.0017019999213516712
122,"화장하는거 너무 예뻐요, 아름답구 ~~ !",Positive,0.9809743165969849,0.019025662913918495
123,"눈썹정리,피부관리 안해서 더럽게다니는것 보단 이게 훨씬 낫지 깔끔해보이고 얼마나 좋아",Positive,0.9982594847679138,0.0017405174439772964
124,이분들 진짜 멋지네요.,Positive,0.9963777661323547,0.0036222294438630342
125,진짜 멋있어요ㅠㅠ 정작 악플다시는 분들은 꾸미지도 않으시면서 악플달시간에 제발 꾸미세여.....,Positive,0.9933035969734192,0.006696376018226147
127,"화장 하고 말고는 자기 마음일 뿐더러 남자 여자 가릴 것 없이 화장하는 이유는 나 자신을 꾸미기 위해서, 관리를 위해 등등 이유는 같을텐데 ㅜㅠㅠㅠㅠ 자기 관리 하는게 얼마나 좋아... 화장에 성별 구분선을 만들어 놓고 생각하는 자체가 잘못됐다고 생각함",Positive,0.9576365947723389,0.04236341267824173
128,남자다움 여자다움 이런 선입견은 없어져야한다고 생각해요. 저는 여자지만 오히려 남자뷰튜버 분들이 화장하면 더 멋있는것같아요. 너무 상처받지마시고 당당하게 예뻐지셨으면해요. 앞으로 더 응원하겠습니다.,Positive,0.997862696647644,0.0021373305935412645
129,화장하는 남자들 졸라 멋있음,Positive,0.9826942086219788,0.017305800691246986
131,"멋있네,, 여자가 안 꾸미면 어떻고 남자가 꾸미면 어때.",Positive,0.8770604133605957,0.1229395866394043
133,너무 멋있는것같아요나다운게 나다운거에요응원하겠습니다,Positive,0.9948857426643372,0.005114291794598103
134,진짜 다 옳은 말씀들인...ㅠㅠ LGBT가 비하적으로 쓰이는것도 싫고.. 화장에대한 편견도 넘나 싫다ㅜㅜ,Positive,0.9726773500442505,0.02732262946665287
135,이런 영상 많이나왔으면!!!!!,Positive,0.9980775713920593,0.00192245130892843
137,말씀하시는거진짜멋있으시다,Positive,0.9621391296386719,0.037860892713069916
138,난 화장하는 남자가 이상형인디 왠지 연애 하면서 화장품도 같이 고르고 상의 하는게 좋고 매력있음 ㅎㅎ♡,Positive,0.9896638989448547,0.010336081497371197
139,자기관리하고 꾸미는게 왜 잘못된 것 ㅜㅜ 당당한 모습이 아름다운 분들.,Positive,0.9827521443367004,0.017247837036848068
140,와...근데 피부들이 너무 좋으시네요ㅠㅠㅠㅋㅋ,Positive,0.9786249995231628,0.021375004202127457
142,우리 임파님ㅜㅜ 넘나사랑스러움,Positive,0.9980952739715576,0.0019047539681196213
143,그래도 요즘 세상이많이변해가는거같아서 제가 괜스레 흐뭇해지네요 ㅎㅂㅎ 옛날에 당연시되었던 폭력과 차별들이 점점 바뀌어가고 바뀐사람들이늘어나고 잘못되지않은게잘못되지않았다는걸알게되고 그게 되게 사회의 멋있는 즐거운변화라고생각해요 물론 그과정에서 갈등도 일어나고 혐오적인것들도 일어나지만 그사람들도 차차 줄어들것이고 올바른가치관이 세상에 퍼지고 사람들이 자신의행동과사고방식에대해 생각해보는사회가오겠죠 전 나중에 만화가가되어서 이런차별과 혐오 소수자 편견등에관한만화를그리고싶어요 (일단 고삼이니 대학부터가야할텐ㄷ..ㅠ,Positive,0.9982491731643677,0.0017508392920717597
146,후니언님 짱 귀여우세요ㅠㅜㅠ,Positive,0.9975730776786804,0.0024269751738756895
148,레오제이님 말씀 잘 하신다... 굿굿 요즘은 개성시대고 남자도 화장하는 시대! 악플다는 놈들에겐 넌 좀 (화장)해야겠다 라고 하세요! 해도 별 다를 건 없는 낯짝의 악플러들이겠지만,Positive,0.9982978105545044,0.0017021760577335954
149,멋있으시다ㅠㅠㅠㅠㅠ,Positive,0.9922389388084412,0.007761022076010704
